title,address,access,age,floor,fee,management_fee,deposit,gratuity,madori,menseki
コーポ春田,京都府向日市物集女町御所海道,"
阪急京都線/洛西口駅 歩10分
ＪＲ東海道本線/桂川駅 歩18分
阪急京都線/東向日駅 歩24分
","
築41年
2階建
","
											2階",5.7万円,2000円,-,5.7万円,2DK,46.5m2
コーポ春田,京都府向日市物集女町御所海道,"
阪急京都線/洛西口駅 歩10分
ＪＲ東海道本線/桂川駅 歩18分
阪急京都線/東向日駅 歩24分
","
築41年
2階建
","
											2階",5.8万円,2000円,-,5.8万円,2DK,46.5m2
コーポ春田,京都府向日市物集女町,"
阪急京都線/洛西口駅 歩9分
ＪＲ東海道本線/桂川駅 歩18分
阪急京都線/東向日駅 歩23分
","
築41年
2階建
","
											2階",5.8万円,2000円,-,5.8万円,2DK,44.67m2
物集女中条貸家,京都府向日市物集女町中条,"
阪急京都線/洛西口駅 歩12分
ＪＲ東海道本線/桂川駅 歩22分
阪急京都線/東向日駅 歩21分
","
築25年
2階建
","
											1-2階",10万円,-,-,10万円,3DK,75m2
物集女中条貸家,京都府向日市物集女町中条,"
阪急京都線/洛西口駅 歩12分
ＪＲ東海道本線/桂川駅 歩22分
阪急京都線/東向日駅 歩21分
","
築25年
2階建
","
											1-2階",10万円,-,-,10万円,3DK,75m2
ハイツ田中,京都府向日市物集女町五ノ坪,"
阪急京都線/洛西口駅 歩5分
ＪＲ東海道本線/桂川駅 歩15分
阪急京都線/桂駅 歩25分
","
築39年
3階建
","
											3階",6.5万円,3000円,5万円,5万円,2DK,45.71m2
ＪＲ東海道本線 向日町駅 12階建 築33年,京都府京都市伏見区久我本町,"
ＪＲ東海道本線/向日町駅 歩28分
阪急京都線/東向日駅 歩31分
阪急京都線/西向日駅 歩32分
","
築33年
12階建
","
											3階",6.4万円,-,-,-,3LDK,53.95m2
ＪＲ東海道本線 向日町駅 12階建 築33年,京都府京都市伏見区久我本町,"
ＪＲ東海道本線/向日町駅 歩28分
阪急京都線/東向日駅 歩31分
阪急京都線/西向日駅 歩32分
","
築33年
12階建
","
											10階",7.6万円,-,7.6万円,-,3LDK,62.72m2
朝日プラザ伏見桂川,京都府京都市伏見区久我本町,"
ＪＲ東海道本線/向日町駅 歩36分
阪急京都線/東向日駅 歩38分
阪急京都線/西向日駅 歩35分
","
築33年
12階建
","
											3階",6.4万円,-,-,-,3LDK,53.95m2
朝日プラザ伏見桂川,京都府京都市伏見区久我本町,"
ＪＲ東海道本線/向日町駅 歩36分
阪急京都線/東向日駅 歩38分
阪急京都線/西向日駅 歩35分
","
築33年
12階建
","
											10階",7.6万円,-,7.6万円,-,3LDK,62.72m2
第一向日ハイツ,京都府向日市物集女町南条,"
阪急京都線/東向日駅 歩13分
ＪＲ東海道本線/向日町駅 歩19分
阪急京都線/洛西口駅 歩15分
","
築44年
3階建
","
											1階",5.8万円,5000円,-,-,1LDK,45.36m2
第一向日ハイツ,京都府向日市物集女町南条,"
阪急京都線/東向日駅 歩13分
ＪＲ東海道本線/向日町駅 歩19分
阪急京都線/洛西口駅 歩15分
","
築44年
3階建
","
											1階",6万円,5000円,10万円,-,2DK,45.36m2
ＩＴパレス２１,京都府向日市物集女町中海道,"
阪急京都線/洛西口駅 歩10分
ＪＲ東海道本線/桂川駅 歩19分
阪急京都線/東向日駅 歩24分
","
築23年
3階建
","
											3階",5.3万円,4000円,-,5.3万円,1K,24m2
シャトーおさんだ,京都府向日市物集女町,"
阪急京都線/洛西口駅 歩10分
ＪＲ東海道本線/桂川駅 歩19分
阪急京都線/桂駅 歩31分
","
築39年
2階建
","
											1階",7.3万円,3000円,10万円,-,2LDK,53.19m2
エスパシオ洛西口,京都府向日市寺戸町七ノ坪,"
阪急京都線/洛西口駅 歩7分
ＪＲ東海道本線/桂川駅 歩11分
阪急京都線/桂駅 歩24分
","
築10年
3階建
","
											2階",9.3万円,6000円,5万円,25万円,1LDK,47.45m2
エスパシオ洛西口,京都府向日市寺戸町七ノ坪,"
阪急京都線/洛西口駅 歩7分
ＪＲ東海道本線/桂川駅 歩11分
阪急京都線/桂駅 歩24分
","
築10年
3階建
","
											3階",9.5万円,6000円,5万円,25万円,1LDK,47.45m2
パティオプラスパI,京都府長岡京市井ノ内広海道,"
阪急京都線/西向日駅 歩20分
ＪＲ東海道本線/長岡京駅 歩40分
阪急京都線/長岡天神駅 歩30分
","
築39年
5階建
","
											4階",3.5万円,-,10万円,-,1K,18m2
パティオプラスパI,京都府長岡京市井ノ内広海道,"
阪急京都線/西向日駅 歩20分
ＪＲ東海道本線/長岡京駅 歩40分
阪急京都線/長岡天神駅 歩30分
","
築39年
5階建
","
											3階",3.5万円,-,10万円,-,1K,17.72m2
パティオプラスパI,京都府長岡京市井ノ内広海道,"
阪急京都線/西向日駅 歩20分
ＪＲ東海道本線/長岡京駅 歩40分
阪急京都線/長岡天神駅 歩30分
","
築39年
5階建
","
											4階",3.5万円,-,10万円,-,1K,17.72m2
